cultivar,price,note,id,url,image,hybridizer,year,color,parentage,ploidy,bloomseason,budcount,branches,form,bloomsize,bloomhabit,seedlingnum,foliagetype,scapeheight,fragrance,sculpting,rebloom
Southern Classic,"",,172548,https://www.daylilies.org/DaylilyDB/detail.php?id=172548,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/southernclassic.jpg,Rea-C.,2013,pale yellow with huge strong scapes,(Kitty Wells × sdlg),Tetraploid,"Midseason,Rebloom",22,3,"","6.75 in, (17 cm)",Diurnal,CB10-019,Evergreen,"34 in, (86 cm)","","",""
Spacecoast Behavior Pattern,"",,155356,https://www.daylilies.org/DaylilyDB/detail.php?id=155356,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Behavior_Pattern.jpg,Kinnebrew-J.,2006,cream with purple eye and picotee edge,(Spacecoast Sea Shells × Lighter than Air),Tetraploid,"Early,Rebloom",22,3,"","6 in, (15 cm)",Diurnal,SCSeaShellsXLAir,Evergreen,"32 in, (81 cm)","","",""
Spacecoast Black Sensation,"",,180232,https://www.daylilies.org/DaylilyDB/detail.php?id=180232,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/SPACECOAST-BLACK-SENSATION-1_1514904528.jpg,Kinnebrew-Gossard,2016,"near black with gold edge, yellow green throat",(Spacecoast Dark Obsession × Spacecoast Dark Obsession sib),Tetraploid,"Midseason,Rebloom",25,4,"","7 in, (18 cm)",Diurnal,BLACKFRIDAYF2,Evergreen,"32 in, (81 cm)",Fragrant,"",""
Spacecoast Butter Finger,"",,180238,https://www.daylilies.org/DaylilyDB/detail.php?id=180238,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast-Butter-Finger-1_1514904810.jpg,Kinnebrew-Gossard,2016,Butter yellow with fringy teeth and fangs and small green throat,(Spacecoast Irish Illumination × Heman),Tetraploid,"Midseason,Rebloom",28,5,"","8.5 in, (22 cm)",Diurnal,iillheman-golddbl,Semi-Evergreen,"37 in, (94 cm)",Fragrant,"",""
Spacecoast Chomp! Chomp!,"",,167663,https://www.daylilies.org/DaylilyDB/detail.php?id=167663,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/SCChompChomp.jpg,Kinnebrew-J.,2011,dark red with white toothy edge,(Spacecoast Loose Tooth × Heman),Tetraploid,"Early,Rebloom",18,3,"","10 in, (25 cm)",Diurnal,(SC LT X Heman),Semi-Evergreen,"36 in, (91 cm)","","",""
Spacecoast Color Scheme,"",,160114,https://www.daylilies.org/DaylilyDB/detail.php?id=160114,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/SC_Color_Scheme.jpg,Kinnebrew-J.,2008,ruffled red tan bicolor,(Spacecoast Small Talk × Lil' Red Wagon),Tetraploid,"Extra Early,Rebloom",36,4,"","3.5 in, (9 cm)",Diurnal,SCSTX Lil Red Wagon,Semi-Evergreen,"22 in, (56 cm)","","",""
Spacecoast Cool Deal,$10.00,,45769,https://www.daylilies.org/DaylilyDB/detail.php?id=45769,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Cool_Deal.jpg,Kinnebrew-J.,1999,lavender with yellow halo and gold edge above yellow throat,(Wedding Band × Ida's Magic),Tetraploid,"Midseason,Rebloom",24,3,"","6 in, (15 cm)",Diurnal,WBXIM,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Cotton Candy,$15.00,,144341,https://www.daylilies.org/DaylilyDB/detail.php?id=144341,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Cotton_Candy.jpg,Kinnebrew-J.,2001,peach pink blend above yellow throat,(Spacecoast Sweetness × Desert Dreams),Tetraploid,"Early,Rebloom",30,4,"","5.25 in, (13 cm)",Diurnal,DDXSSW,Semi-Evergreen,"25 in, (64 cm)","","",""
Spacecoast Cranberry Breeze,$10.00,,45766,https://www.daylilies.org/DaylilyDB/detail.php?id=45766,https://www.daylilies.org/DaylilyDB/None,Kinnebrew-J.,1999,cranberry self with gold edge above melon throat,(Ida's Magic × sdlg),Tetraploid,"Early-Midseason,Rebloom",30,3,"","5.5 in, (14 cm)",Diurnal,SLDGXIM,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Dark Lord,$15.00,,162933,https://www.daylilies.org/DaylilyDB/detail.php?id=162933,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Dark Lord.jpg,Kinnebrew-J.,2009,black red with gold edge,(Karen Stephens × Spacecoast Dark Obsession),Tetraploid,"Midseason,Rebloom",22,3,"","6 in, (15 cm)",Diurnal,KS X SCDO,Semi-Evergreen,"28 in, (71 cm)","","",""
Spacecoast Dark Obsession,$15.00,,160109,https://www.daylilies.org/DaylilyDB/detail.php?id=160109,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Dark_Obsession.jpg,Kinnebrew-J.,2008,dark red with ruffled gold edge,(sdlg × sdlg),Tetraploid,"Early-Midseason,Rebloom",40,4,"","6 in, (15 cm)",Diurnal,SC R Yell X JN PI F2,Semi-Evergreen,"34 in, (86 cm)","","",""
Spacecoast Double Standard,$12.00,,162957,https://www.daylilies.org/DaylilyDB/detail.php?id=162957,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Double Standard.jpg,Kinnebrew-J.,2009,orange peach blend with outer gold edge,(Spacecoast Tropical Twister × sdlg),Tetraploid,"Early-Midseason,Rebloom",18,3,Double 90%,"6 in, (15 cm)",Diurnal,TTwist,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Dream Catcher,$10.00,,152804,https://www.daylilies.org/DaylilyDB/detail.php?id=152804,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Sc_Dream_Catcher.jpg,Kinnebrew-J.,2005,pink with rose halo above green throat,(Spacecoast Raspberry Mist × Enchanting Esmerelda),Tetraploid,"Early,Rebloom",30,4,"","6.5 in, (17 cm)",Diurnal,R.Mist x E.ESM,Semi-Evergreen,"30 in, (76 cm)","","",""
Spacecoast Extreme Fashion,$15.00,,141841,https://www.daylilies.org/DaylilyDB/detail.php?id=141841,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Extreme_Fashion.jpg,Kinnebrew-J.,2000,pink peach blend,(Spacecoast Sweetness × Spacecoast Starburst),Tetraploid,"Early,Rebloom",25,3,"","5.5 in, (14 cm)",Diurnal,(SCSTXSSW),Semi-Evergreen,"21 in, (53 cm)","","",""
Spacecoast Eye Of The Tiger,"",,180228,https://www.daylilies.org/DaylilyDB/detail.php?id=180228,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast-Eye-of-The-Tiger-1_1514904811.jpg,Kinnebrew-Gossard,2016,"dark salmon pink, puple eye",(Spacecoast Flamingo Eyes × Viva Pinata),Tetraploid,"Early-Midseason,Rebloom",30,5,Unusual FormCrispate,"10 in, (25 cm)",Diurnal,Monkiansd11,Semi-Evergreen,"38 in, (97 cm)",Fragrant,"",""
Spacecoast Francis Busby,$20.00,,165528,https://www.daylilies.org/DaylilyDB/detail.php?id=165528,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Francis Busby.jpg,Kinnebrew-J.,2010,bright red with orange halo and gold edge,(Sunny Valentine × Spacecoast Blood Diamond),Tetraploid,"Early-Midseason,Rebloom",28,4,"","6 in, (15 cm)",Diurnal,"",Evergreen,"28 in, (71 cm)","","",""
Spacecoast Gold Bonanza,$10.00,,146669,https://www.daylilies.org/DaylilyDB/detail.php?id=146669,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Gold Bonanza.jpg,Kinnebrew-J.,2002,yellow blend above green throat,(Spacecoast Krinkles × Sherry Lane Carr),Tetraploid,"Early-Midseason,Rebloom",18,3,"","6.75 in, (17 cm)",Diurnal,SCKRINKLESXSLC,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Gone Bulldoggin',$12.00,,155349,https://www.daylilies.org/DaylilyDB/detail.php?id=155349,https://www.daylilies.org/DaylilyDB/None,Kinnebrew-J.,2006,cream with purple eye and purple gold double edge,(sdlg × Gavin Petit),Tetraploid,"Early-Midseason,Rebloom",22,3,"","7 in, (18 cm)",Diurnal,BGSdlgXGavinPetit,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Hollywood Knights,"",,177268,https://www.daylilies.org/DaylilyDB/detail.php?id=177268,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Hollywood Knights.jpg,Kinnebrew-Gossard,2015,near black with an orange red eyezone and yellow gold edge,(Black Friday × Spacecoast Dark Obsession),Tetraploid,"Early,Rebloom",38,8,"","7 in, (18 cm)",Diurnal,bfdarko,Evergreen,"35 in, (89 cm)",Fragrant,"",""
Spacecoast Hot Tamales,$15.00,,162931,https://www.daylilies.org/DaylilyDB/detail.php?id=162931,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Hot_Tamales.jpg,Kinnebrew-J.,2009,brilliant orange self,(Spacecoast Tiny Inferno × sdlg),Tetraploid,"Early-Midseason,Rebloom",24,4,"","3.5 in, (9 cm)",Diurnal,SCTIXLR,Evergreen,"24 in, (61 cm)","","",""
Spacecoast Hot Topic,$12.00,,141929,https://www.daylilies.org/DaylilyDB/detail.php?id=141929,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Hot_Topic.jpg,Kinnebrew-J.,2000,red self above yellow green throat,(sdlg × Leonard Bernstein),Tetraploid,"Early-Midseason,Rebloom",25,3,"","4 in, (10 cm)",Diurnal,LBXSLDG,Evergreen,"24 in, (61 cm)","","",""
Spacecoast Irish Illumination,$15.00,,160110,https://www.daylilies.org/DaylilyDB/detail.php?id=160110,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Irish_Illumination.jpg,Kinnebrew-J.,2008,bright ruffled lemon yellow self,(Mike Longo × Spacecoast Hope Beacon),Tetraploid,"Early-Midseason,Rebloom",50,5,"","6 in, (15 cm)",Diurnal,ML x SC HB,Semi-Evergreen,"36 in, (91 cm)","","",""
Spacecoast Lemon Pie,"",,177307,https://www.daylilies.org/DaylilyDB/detail.php?id=177307,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Lemon Pie.jpg,Kinnebrew-Gossard,2015,lemon yellow with small green throat and fringy edge,(Spacecoast Irish Illumination × (Spacecoast Jimbo Sadler × Moment in the Sun)),Tetraploid,"Early,Rebloom",36,7,"","6 in, (15 cm)",Diurnal,Irishill sdl,Evergreen,"36 in, (91 cm)",Fragrant,"",""
Spacecoast Lemon Thriller,"",,183670,https://www.daylilies.org/DaylilyDB/detail.php?id=183670,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast-Lemon Thriller.jpg,Kinnebrew-Gossard,2017,"lemon yellow with fringy teeth and fangs, small green throat",(Spacecoast Irish Illumination × Heman),Tetraploid,"Midseason,Rebloom",28,5,"","8.5 in, (22 cm)",Diurnal,irishillheman#2,Semi-Evergreen,"37 in, (94 cm)",Fragrant,"",""
Spacecoast Loose Tooth,"",,162960,https://www.daylilies.org/DaylilyDB/detail.php?id=162960,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Loose_Tooth.jpg,Kinnebrew-J.,2009,purple self with white teeth edge,(sdlg × sdlg),Tetraploid,"Early-Midseason,Rebloom",18,3,Unusual FormCrispate,"9 in, (23 cm)",Diurnal,J (SC S T X M),Evergreen,"36 in, (91 cm)","","",""
Spacecoast Marmalade Tiger,"",,180233,https://www.daylilies.org/DaylilyDB/detail.php?id=180233,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast-Marmalade-Tiger-1_1514904814.jpg,Kinnebrew-Gossard,2016,"orange with lighter watermark and edge, yellow green throat",((Spacecoast Francis Busby × (My Sunny Valentine × Spacecoast Blood Diamond)) × Spacecoast Saltwater Taffy),Tetraploid,"Early-Midseason,Rebloom",24,5,"","9 in, (23 cm)",Diurnal,bigo,Semi-Evergreen,"34 in, (86 cm)",Fragrant,"",""
Spacecoast Modern Symmetry,$20.00,,160112,https://www.daylilies.org/DaylilyDB/detail.php?id=160112,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Modern_Symmetry.jpg,Kinnebrew-J.,2008,dark mauve with darker purple eye above patterned yellow throat,(Spacecoast Behavior Pattern × Spacecoast Technical Knock Out),Tetraploid,"Extra Early,Rebloom",20,3,"","5.5 in, (14 cm)",Diurnal,SC B P x SC TKO,Evergreen,"28 in, (71 cm)","","",""
Spacecoast Moonlight Orchid,"",,180234,https://www.daylilies.org/DaylilyDB/detail.php?id=180234,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast-Moonlight-Orchid-1_1514904815.jpg,Kinnebrew-Gossard,2016,"wine purple with cream white appliquéd throat and darker purple eyezone, petals and sepals are edged in white and purple and a yellow green throat",(Spacecoast Art Deco × (Catcher in the Eye × Regal Fantasy)),Tetraploid,"Early-Midseason,Rebloom",24,4,"","7 in, (18 cm)",Diurnal,artdecof2,Semi-Evergreen,"38 in, (97 cm)",Fragrant,"",""
Spacecoast Multilevel Deal,"",,165529,https://www.daylilies.org/DaylilyDB/detail.php?id=165529,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Multilevel Deal.jpg,Kinnebrew-J.,2010,lavender purple with lighter halo and patterned throat,(Spacecoast Behavior Pattern × Regal Fantasy),Tetraploid,"Early-Midseason,Rebloom",20,3,"","6 in, (15 cm)",Diurnal,"",Evergreen,"28 in, (71 cm)","","",""
Spacecoast Pattern Plus,"",,157898,https://www.daylilies.org/DaylilyDB/detail.php?id=157898,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Pattern_Plus.jpg,Kinnebrew-J.,2007,lavender purple blend with darker purple eye,(Spacecoast Sea Shells × Lighter than Air),Tetraploid,"Extra Early,Rebloom",20,3,"","5.75 in, (15 cm)",Diurnal,SShellsXLAir#2,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Pumpkin Spice,"",,177306,https://www.daylilies.org/DaylilyDB/detail.php?id=177306,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Pumpkin Spice.jpg,Kinnebrew-Gossard,2015,heavily ruffled in red with orange undertone and has a small green throat and small gold edge,(Karen Stephens × Lttle Red Wagon),Tetraploid,"Early,Rebloom",24,4,"","4.37 in, (11 cm)",Diurnal,kslittleredw,Evergreen,"33 in, (84 cm)",Fragrant,"",""
Spacecoast Red Mammoth,"",,180229,https://www.daylilies.org/DaylilyDB/detail.php?id=180229,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast-Red-Mammoth-1_1514904819.jpg,Kinnebrew-Gossard,2016,"bright cerise rose, starburst halo eye above green throat",(Spacecoast Sweet Tarts × Spacecoast Five O'Clock Somewhere),Tetraploid,"Early-Midseason,Rebloom",22,4,"","7.5 in, (19 cm)",Diurnal,sweettarts5oclocksdl,Semi-Evergreen,"23 in, (58 cm)",Fragrant,"",""
Spacecoast Royal Rumble,$12.00,,155348,https://www.daylilies.org/DaylilyDB/detail.php?id=155348,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Royal_Rumble.jpg,Kinnebrew-J.,2006,large ruffled royal purple with slight white edge,(Spacecoast Sharp Tooth × Cosmic Sensation),Tetraploid,"Early-Midseason,Rebloom",24,3,"","6.25 in, (16 cm)",Diurnal,S.ToothxCosSen,Semi-Evergreen,"32 in, (81 cm)","","",""
Spacecoast Sea Shells,$12.00,,148254,https://www.daylilies.org/DaylilyDB/detail.php?id=148254,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Sea_Shells.jpg,Kinnebrew-J.,2003,cream with purple eye and edge above yellow cream throat,(Catcher in the Eye × sdlg),Tetraploid,"Early-Midseason,Rebloom",23,4,"","5.5 in, (14 cm)",Diurnal,CATCHEREYExSLDG,Evergreen,"30 in, (76 cm)","","",""
Spacecoast Sonata,$10.00,,10216,https://www.daylilies.org/DaylilyDB/detail.php?id=10216,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Sonata.jpg,Kinnebrew-J.,1998,pink blend with green throat,(Secret Splendor × sdlg),Tetraploid,Early,"","","","5.75 in, (15 cm)",Diurnal,JR3XSS,Evergreen,"30 in, (76 cm)","","",""
Spacecoast Sprawler,$10.00,,141836,https://www.daylilies.org/DaylilyDB/detail.php?id=141836,https://www.daylilies.org/DaylilyDB/None,Kinnebrew-J.,2000,peach blend with gold edge above yellow green throat,(sdlg × sdlg),Tetraploid,"Early-Midseason,Rebloom",25,3,"","6.75 in, (17 cm)",Diurnal,(ABxSW)F2,Semi-Evergreen,"28 in, (71 cm)","","",""
Spacecoast Surprise Purple,$10.00,,141837,https://www.daylilies.org/DaylilyDB/detail.php?id=141837,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Surprise_Purple.jpg,Kinnebrew-J.,2000,purple with white edge above yellow green throat,(Spacecoast Sweetness × Desert Dreams),Tetraploid,"Early,Rebloom",35,5,"","5 in, (13 cm)",Diurnal,(DDXSS)#2,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Sweetness,"",,10219,https://www.daylilies.org/DaylilyDB/detail.php?id=10219,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Sweetness.jpg,Kinnebrew-J.,1998,pink self with yellow throat,(Little Mystic Moon ×  (sdlg × Elizabeth Salter)),Tetraploid,"Early,Rebloom",50,5,"","3.87 in, (10 cm)",Diurnal,LMM(JR3XES),Semi-Evergreen,"21 in, (53 cm)","","",""
Spacecoast Tasmanian Devil,"",,177309,https://www.daylilies.org/DaylilyDB/detail.php?id=177309,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast TASMANIAN DEVIL.jpg,Kinnebrew-Gossard,2015,black purple with a very green throat and white toothy edge,(Spacecoast Night Vision × Spacecoast Barracuda),Tetraploid,"Early-Midseason,Rebloom",18,4,"","6 in, (15 cm)",Diurnal,nightvision#1,Evergreen,"26 in, (66 cm)",Fragrant,"",""
Spacecoast Technical Knock out,$15.00,,149198,https://www.daylilies.org/DaylilyDB/detail.php?id=149198,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Technical_Knockout.jpg,Kinnebrew-J.,2004,deep rose with black eye and edge above yellow green throat,(Spacecoast Shiner × Mister Lucky),Tetraploid,"Midseason,Rebloom",20,3,"","4.75 in, (12 cm)",Diurnal,SHINxMLUCK,Semi-Evergreen,"32 in, (81 cm)","","",""
Spacecoast the Green Mile,"",,183678,https://www.daylilies.org/DaylilyDB/detail.php?id=183678,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast-The-Green-Mile.jpg,Kinnebrew-Gossard,2017,golden yellow with very green throat and fringy edge,(Spacecoast Lemon Whiskers × (Spacecoast Irish Illumination × Heman)),Tetraploid,"Early-Midseason,Rebloom",36,6,"","8 in, (20 cm)",Diurnal,Green#1,Semi-Evergreen,"34 in, (86 cm)",Fragrant,"",""
Spacecoast Tiny Perfection,$10.00,,10220,https://www.daylilies.org/DaylilyDB/detail.php?id=10220,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Tiny_Perfection.jpg,Kinnebrew-J.,1998,flesh pink self with gold edge and green throat,((Little Mystic Moon × (sdlg × Elizabeth Salter)) × (Little Mystic Moon × (sdlg × Elizabeth Salter))),Tetraploid,"Early,Rebloom",45,5,"","2.87 in, (7 cm)",Diurnal,[LMM(JR3xES)]f2,Semi-Evergreen,"18 in, (46 cm)","","",""
Spacecoast Two Eyed Jack,$15.00,,155354,https://www.daylilies.org/DaylilyDB/detail.php?id=155354,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast_Two_Eyed_Jack.jpg,Kinnebrew-J.,2006,cream with purple eye and picotee,(Gemini Jack × sdlg),Tetraploid,"Early-Midseason,Rebloom",16,2,Double 90%,"6 in, (15 cm)",Diurnal,GemJackXSdlg,Semi-Evergreen,"24 in, (61 cm)","","",""
Spacecoast Velvet valentine,"",,165522,https://www.daylilies.org/DaylilyDB/detail.php?id=165522,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spacecoast Velvet Valentine.jpg,Kinnebrew-J.,2010,velvet purple red with light chalky halo,(sdlg × Sunny Valentine),Tetraploid,"Early,Rebloom",24,3,"","6 in, (15 cm)",Diurnal,"",Semi-Evergreen,"26 in, (66 cm)","","",""
Spanish Masquerade,$8.00,,40133,https://www.daylilies.org/DaylilyDB/detail.php?id=40133,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spanish_Masquerade.jpg,Munson-R.W.,1981,cream yellow with russet plum eyezone and cream throat,(Shibui Splendor × Sabie),Diploid,"Early-Midseason,Rebloom","","","","7 in, (18 cm)",Diurnal,"",Evergreen,"22 in, (56 cm)",Fragrant,"",""
Sparkling Spire,$20.00,,170530,https://www.daylilies.org/DaylilyDB/detail.php?id=170530,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/SPARKLING SPIRE.jpg,Lambertson,2012,"lavender petals, lighter sepals, faint blue eye and edge, white teeth, green throat",(Triassic Teeth × sdlg),Tetraploid,"Early-Midseason,Rebloom",30,4,"","9 in, (23 cm)",Diurnal,LL226,Evergreen,"36 in, (91 cm)","","",""
Sparks Prom Queen,"",,167226,https://www.daylilies.org/DaylilyDB/detail.php?id=167226,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Sparks Prom Queen.jpg,Taunton-J.,2011,dark red with silver white highlights,(Sparks Leprechauns Rainbow × Nebuchadnezzar's Furnace),Diploid,"Early-Midseason,Rebloom",22,5,Double 95%,"4.5 in, (11 cm)",Diurnal,"",Semi-Evergreen,"21 in, (53 cm)","","",""
Spectral Elegance,$10.00,,145771,https://www.daylilies.org/DaylilyDB/detail.php?id=145771,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/spectral_elegance.jpg,Stamile,2002,pastel polychrome with pink overlay above green throat,(Ballerina on Ice × Tet. Ruffled Masterpiece),Tetraploid,"Early-Midseason,Rebloom",25,5,"","6.5 in, (17 cm)",Diurnal,17-A,Evergreen,"23 in, (58 cm)","","",""
Spellbound Secret,$15.00,,160892,https://www.daylilies.org/DaylilyDB/detail.php?id=160892,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spellbound Secret.jpg,Salter,2009,pale yellow with black plum eye and edge above green throat,((Happy Halloween × Fabulous Black Pearl) × Shipwreck Cove),Tetraploid,Early-Midseason,38,4,"","5 in, (13 cm)",Diurnal,scff,Semi-Evergreen,"29 in, (74 cm)","","",""
Spider Man,$10.00,,40231,https://www.daylilies.org/DaylilyDB/detail.php?id=40231,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spider-Man.jpg,Durio,1982,bright red self with chartreuse throat,(Douglas Dale × Howard Goodson),Tetraploid,"Early-Midseason,Rebloom","","","","",Diurnal,81R98,Dormant,"24 in, (61 cm)","","",""
Spider Miracle,$8.00,,40232,https://www.daylilies.org/DaylilyDB/detail.php?id=40232,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spider_Miracle.jpg,Hendricks-W.,1986,yellow green spider with green throat,"",Diploid,Midseason,"","",Unusual FormSpatulate,"8.5 in, (22 cm)",Diurnal,Y8401-84,Dormant,"32 in, (81 cm)","","",""
Spin And Twirl,"",,159741,https://www.daylilies.org/DaylilyDB/detail.php?id=159741,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Spin_and_Twirl.jpg,Joiner-J.,2008,light yellow gold blend above yellow green throat,(sdlg × sdlg),Diploid,"Midseason,Rebloom",14,4,Unusual FormCrispateDouble 95%,"8 in, (20 cm)",Diurnal,J03JJSpid54,Evergreen,"32 in, (81 cm)",Fragrant,"",""
Springfield Clan,$10.00,,141954,https://www.daylilies.org/DaylilyDB/detail.php?id=141954,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Springfield_Clan.jpg,Trimmer-J.,2001,crimson red self above large green throat,(Persian Ruby × Point of View),Tetraploid,"Early-Midseason,Rebloom",25,2,Unusual FormCascade,"10 in, (25 cm)",Diurnal,JT99-2,Semi-Evergreen,"40 in, (102 cm)","","",""
Stack The Deck,$10.00,,10316,https://www.daylilies.org/DaylilyDB/detail.php?id=10316,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Stack_The_Deck.jpg,Shooter-E.,1997,red purple with purple eyezone and cream edges above a green and white throat,"",Diploid,"Midseason,Rebloom","","","","7 in, (18 cm)",Diurnal,90-E1,Dormant,"32 in, (81 cm)","","",""
Star Of India,"",,10330,https://www.daylilies.org/DaylilyDB/detail.php?id=10330,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/StarofIndia.jpg,Roberts-P.,1992,lilac purple with yellow cream eyezone above yellow cream throat,((Jock Randall × Midnight Magic) × Night Queen),Tetraploid,"Early-Midseason,Rebloom","","","","7.5 in, (19 cm)",Extended,P7-1102,Evergreen,"35 in, (89 cm)","","",""
Star Over Oz,$12.00,,152413,https://www.daylilies.org/DaylilyDB/detail.php?id=152413,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Star_over_oz_2005.jpg,Herrington-K.,2005,purple with star shaped yellow eye above green throat,"",Diploid,"Early-Midseason,Rebloom",27,4,Unusual FormCrispate-Cascade,"8.5 in, (22 cm)",Diurnal,KAT-05-02,Semi-Evergreen,"28 in, (71 cm)",Fragrant,"",""
Startle,$10.00,,40528,https://www.daylilies.org/DaylilyDB/detail.php?id=40528,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Startle.jpg,Belden,1988,red bitone with cream halo and green throat,(Broadmore Red × My Sunshine),Tetraploid,Midseason,"","","","5 in, (13 cm)",Diurnal,87-23,Dormant,"26 in, (66 cm)","","",""
Stately Buddha,$8.00,,10354,https://www.daylilies.org/DaylilyDB/detail.php?id=10354,https://www.daylilies.org/DaylilyDB/None,Munson-R.W.,1997,grape purple self with lemon chartreuse throat,(Cameroons × Purple Twilight Time),Tetraploid,Midseason,"","","","6 in, (15 cm)",Diurnal,"",Evergreen,"24 in, (61 cm)","","",""
Stella De Oro,$8.00,,40557,https://www.daylilies.org/DaylilyDB/detail.php?id=40557,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Stella De Oro.jpg,Jablonski,1975,gold self with very small green throat,"",Diploid,"Early-Midseason,Rebloom","","","","2.75 in, (7 cm)",Extended,M-6317,Dormant,"11 in, (28 cm)",Fragrant,"",""
Stellar Double Rose,"",,10370,https://www.daylilies.org/DaylilyDB/detail.php?id=10370,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/Stellar Double Rose - Brown-C  1995  2 _1516119601.jpg,Brown-C.,1995,red and lighter red bitone edged white with dark red eyezone above a green throat,"",Diploid,"Early-Midseason,Rebloom","","",Double,"5 in, (13 cm)",Diurnal,DBLST-95,Dormant,"39 in, (99 cm)",Fragrant,"",""
Steve Trimmer,$10.00,,46196,https://www.daylilies.org/DaylilyDB/detail.php?id=46196,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/steve_trimmer.jpg,Trimmer,1999,yellow with plum eyezone and edge above yellow green throat,(Kisses Like Wine × Calico Jack),Tetraploid,"Early-Midseason,Rebloom",25,3,"","5.25 in, (13 cm)",Diurnal,98-17,Semi-Evergreen,"28 in, (71 cm)","","",""
Stimulus Package,"",,164751,https://www.daylilies.org/DaylilyDB/detail.php?id=164751,https://www.daylilies.org/DaylilyDB/AHSPhoto/S/STIMULUS PACKAGE.jpg,Hansen-D.,2010,"pale pink with lavender eye, violet veins and thin lavender edge, yellow green throat",(((Splendid Touch × (Chama Valley × Bam)) × Visual Intrigue) × ((sdlg × (sdlg × sdlg))),Tetraploid,"Midseason,Rebloom",18,4,"","5.5 in, (14 cm)",Diurnal,8BY,Evergreen,"36 in, (91 cm)","","",""
